index, codes
294,KR7292560000
295,KR7089850002
296,KR7024850000
297,KR7002782001
298,KR7121890008
299,KR7017390006
300,KR7000030007
301,KR7085910008
302,KR7266390004
303,KR7200130003
304,KR7006220008
305,KR7099520009
306,KR7219750007
307,KR7000250001
308,KR7033660002
309,KR7002390003
310,KR7086790003
311,KR7300290004
312,KR7182490003
313,KR7102780004
314,KR7003200003
315,KR7042000000
316,KR7204450001
317,KR7094860004
318,KR7293940003
319,KR7033200007
320,KR7019171008
321,KR7304780000
322,KR7232330001
323,KR7000721001
324,KR7300280005
325,KR7122630007
326,KR7139280002
327,KR7001140003
328,KR7226340008
329,KR7057500001
330,KR7047080007
331,KR7120110002
332,KR7133820001
333,KR7208370007
334,KR7290080001
335,KR7139220008
336,KR7049480007
337,KR7097870000
338,KR7096350004
339,KR7145990008
340,KR700680K019
341,KR7008970006
342,KR7095190005
343,KR7121600001
344,KR7023350002
345,KR7069510006
346,KR7180400004
347,KR7115450009
348,KR7044450005
349,KR7005290002
350,KR7001080001
351,KR7084870005
352,KR7029960002
353,KR7035080001
354,KR7003690005
355,KR7271740003
356,KR7130960008
357,KR7109960005
358,KR7016381006
359,KR7125210005
360,KR7145210001
361,KR7058470006
362,KR7108450008
363,KR7293180006
364,KR7002240000
365,KR7086250008
366,KR7200880003
367,KR7128940004
368,KR7011930005
369,KR7247790009
370,KR7151910007
371,KR7195970009
372,KR7069960003
373,KR7000050005
374,KR7114450000
375,KR7145720009
376,KR7101140002
377,KR7059210005
378,KR7015020001
379,KR7161580006
380,KR7157450008
381,KR7066900002
382,KR7252000005
383,KR7012610002
384,KR702826K016
385,KR7030720007
386,KR7018290007
387,KR7237370002
388,KR7015710007
389,KR7115960007
390,KR7236350005
391,KR7002410009
392,KR7026180000
393,KR7019180009
394,KR7149980005
395,KR7033830001
396,KR7061970000
397,KR7196230007
398,KR7288330004
399,KR7122870009
400,KR7051980001
401,KR7009440009
402,KR7214310005
403,KR7329560007
404,KR7140520008
405,KR7096240007
406,KR7184230001
407,KR7275630002
408,KR7290270008
409,KR7092040005
410,KR7258830009
411,KR7003070000
412,KR7274090000
413,KR7013520002
414,KR7221200009
415,KR7195920004
416,KR7004100004
417,KR7228670006
418,KR7316300003
419,KR7281820001
420,KR7214870008
421,KR7280360009
422,KR7033170002
423,KR7041460007
424,KR7072870009
425,KR7083470005
426,KR7228810008
427,KR7001780006
428,KR7000541003
429,KR7084180009
430,KR7245620000
431,KR7005990007
432,KR7012800009
433,KR7064480007
434,KR7012201000
435,KR7019540004
436,KR7264290008
437,KR7131400004
438,KR7056090004
439,KR7241390004
440,KR7005830005
441,KR7035760008
442,KR7317830008
443,KR7122690001
444,KR7220100002
445,KR7023790009
446,KR7292110004
447,KR7123410003
448,KR7054630009
449,KR7078520004
450,KR7308100007
451,KR7003650009
452,KR7004870002
453,KR7046110003
454,KR7073490005
455,KR7049120009
456,KR700104K010
457,KR7243890001
458,KR7138360003
459,KR7319660007
460,KR7002991008
461,KR7131890006
462,KR7087730008
463,KR7299660001
464,KR7277070009
465,KR7305540007
466,KR7101390003
467,KR7053290003
468,KR7139050009
469,KR7100130004
470,KR7007700008
471,KR7131100000
472,KR7210980009
473,KR7322410002
474,KR7267790004
475,KR7114100001
476,KR7049430002
477,KR7213630007
478,KR7021820006
479,KR7012160008
480,KR7128660008
481,KR7015540008
482,KR7220180004
483,KR7024740003
484,KR7304660004
485,KR7008350001
486,KR7234310001
487,KR7306200007
488,KR7038060000
489,KR7230480006
490,KR7001041003
491,KR7088390000
492,KR7018700005
493,KR7000542001
494,KR7023760002
495,KR7010141000
496,KR7263810004
497,KR7002460004
498,KR7245360003
499,KR7117690008
500,KR7105630008
501,KR7227840006
502,KR7028670008
503,KR7038070009
504,KR7007390008
505,KR7085660009
506,KR7267320000
507,KR7260270004
508,KR7152870002
509,KR7038880001
510,KR7023590003
511,KR7241820000
512,KR7126700004
513,KR7114190002
514,KR7041960006
515,KR7005800008
516,KR7123320004
517,KR7192250009
518,KR7033430000
519,KR7150840007
520,KR7315930008
521,KR7238720007
522,KR7099320004
523,KR7196700009
524,KR7287410005
525,KR7263700007
526,KR7298770009
527,KR7215100009
528,KR7298690009
529,KR7007310006
530,KR7067080002
531,KR7033240003
532,KR7193250008
533,KR7037370004
534,KR7272550005
535,KR7008730004
536,KR7275300002
537,KR7101000008
538,KR7008000002
539,KR7317240000
540,KR7287180004
541,KR7271050007
542,KR7067730002
543,KR7191420009
544,KR7001630003
545,KR7034730002
546,KR7024720005
547,KR7005820006
548,KR7033540006
549,KR7010050003
550,KR7087600003
551,KR7011781002
552,KR7094820008
553,KR7259630002
554,KR7027390004
555,KR7046440004
556,KR7319870002
557,KR7003410008
558,KR7003680006
559,KR7054540000
560,KR7091440008
561,KR7311390009
562,KR7041920000
563,KR7264660002
564,KR7192650000
565,KR7211560008
566,KR7134790005
567,KR7154030001
568,KR7002001006
569,KR7002420008
570,KR7140890005
571,KR7280940008
572,KR7261200000
573,KR7084691005
574,KR7004440004
575,KR718064K016
576,KR7098560006
577,KR7069640001
578,KR7200470003
579,KR7042700005
580,KR7024950008
581,KR7130680002
582,KR7019490002
583,KR7016590002
584,KR7238090005
585,KR7187220009
586,KR7253990006
587,KR7060540002
588,KR7194700001
589,KR7252670005
590,KR7298340001
591,KR7054410006
592,KR7016380008
593,KR7106190002
594,KR7048870000
595,KR7309230001
596,KR7083930008
597,KR7002790004
598,KR7079190005
599,KR7031330004
600,KR7101400000
601,KR7336160007
602,KR7007370000
603,KR7173130006
604,KR7047050000
605,KR7293580007
606,KR7222040008
607,KR7337150007
608,KR7067920009
609,KR7007460009
610,KR7109820001
611,KR7004561007
612,KR7246720007
613,KR7074600008
614,KR7160580007
615,KR7092780006
616,KR7213090004
617,KR7181710005
618,KR7071051007
619,KR7157520008
620,KR7215790007
621,KR7142280007
622,KR7096760004
623,KR7114260003
624,KR7290510007
625,KR7229640008
626,KR7250780004
627,KR7004101002
628,KR7256440009
629,KR7073640005
630,KR7153360003
631,KR7000811000
632,KR7000850008
633,KR7284620002
634,KR7016740003
635,KR7104620000
636,KR7089030001
637,KR7005090006
638,KR7323230003
639,KR7086900008
640,KR7003100005
641,KR7219420007
642,KR7020180006
643,KR7020710000
644,KR7265920009
645,KR7277410007
646,KR7255440000
647,KR7052260007
648,KR7010470003
649,KR7089600001
650,KR7028150001
651,KR7267450005
652,KR7001500008
653,KR7092230002
654,KR7073540007
655,KR7226330009
656,KR7100250000
657,KR7012030003
658,KR7091210005
659,KR7021050000
660,KR7295040000
661,KR7140910001
662,KR7033320003
663,KR7032860009
664,KR7000720003
665,KR7004780003
666,KR7098120009
667,KR7058730003
668,KR7071090005
669,KR7005490008
670,KR7192400000
671,KR7012690004
672,KR7001450006
673,KR7250730009
674,KR7079000006
675,KR7342550001
676,KR7028080000
677,KR7278420005
678,KR7111710000
679,KR7256150004
680,KR7049720006
681,KR7071840003
682,KR7138230008
683,KR7108590001
684,KR7317870004
685,KR7047440003
686,KR7004970000
687,KR7079650008
688,KR7131220006
689,KR7224060004
690,KR7306520008
691,KR7302190004
692,KR7229200001
693,KR7064800006
694,KR7207720004
695,KR7063170005
696,KR7016090003
697,KR7031430002
698,KR7307070003
699,KR7245710009
700,KR7083790006
701,KR7032540007
702,KR7027360007
703,KR7036800001
704,KR7068270008
705,KR7050760008
706,KR7064090004
707,KR7294140009
708,KR7086890001
709,KR7044480002
710,KR7099350001
711,KR7214180002
712,KR7282000009
713,KR7256450008
714,KR7081150005
715,KR7315270009
716,KR7002450005
717,KR7086520004
718,KR7322000001
719,KR7196450001
720,KR7020400008
721,KR7093920007
722,KR7043340009
723,KR7129260006
724,KR7000860007
725,KR7298380007
726,KR7033110008
727,KR7122310006
728,KR7034830000
729,KR7054340005
730,KR7265690008
731,KR7200670008
732,KR7001521004
733,KR7309200004
734,KR7332620004
735,KR7035150002
736,KR7089980007
737,KR7001511005
738,KR7091970004
739,KR7112040001
740,KR7065650004
741,KR7026040006
742,KR7093320000
743,KR7090080003
744,KR7256940008
745,KR7138540000
746,KR7016360000
747,KR7001120005
748,KR7043100007
749,KR7307020008
750,KR7310970009
751,KR7009580002
752,KR7217600006
753,KR7261120000
754,KR7225040005
755,KR7263770000
756,KR7320000003
757,KR7016710006
758,KR7267770006
759,KR7012330007
760,KR7310080007
761,KR7003921004
762,KR7006490007
763,KR7018680009
764,KR7251890000
765,KR7030350003
766,KR7066360009
767,KR7045520004
768,KR7091230003
769,KR7102210002
770,KR7005850003
771,KR7006040000
772,KR7041590001
773,KR7009300005
774,KR7221840002
775,KR7291130003
776,KR7078130002
777,KR7131970006
778,KR7001770007
779,KR7261250005
780,KR7078890001
781,KR7003080009
782,KR7227570009
783,KR7194510004
784,KR7010780005
785,KR733626K021
786,KR7234340008
787,KR7095570008
788,KR7109080002
789,KR7001250000
790,KR7234690006
791,KR7005360003
792,KR7307280008
793,KR7012200002
794,KR7073070005
795,KR7139480008
796,KR7251370003
797,KR7028260008
798,KR7026960005
799,KR7095660007
800,KR7002351005
801,KR7001620004
802,KR7307870006
803,KR7067900001
804,KR7011000007
805,KR7211270004
806,KR7053350005
807,KR7234300002
808,KR7004200002
809,KR7071970008
810,KR7047310008
811,KR7011500006
812,KR7292130002
813,KR7244660007
814,KR7317120004
815,KR7032620007
816,KR7010040004
817,KR7017250002
818,KR7094280005
819,KR703473K016
820,KR7029530003
821,KR7031820004
822,KR7108380007
823,KR7195930003
824,KR7200780005
825,KR7216080002
826,KR7054300009
827,KR7083650002
828,KR7009810003
829,KR7003520004
830,KR7011320009
831,KR7053300000
832,KR7174360008
833,KR7006570006
834,KR7003071008
835,KR7039240007
836,KR7198440000
837,KR7325010007
838,KR7000490003
839,KR7023460009
840,KR7219550001
841,KR7025530007
842,KR7019590009
843,KR7276920006
844,KR7067630004
845,KR7282880004
846,KR7020760005
847,KR7276970001
848,KR7285010005
849,KR7138070008
850,KR7251340006
851,KR7121440002
852,KR7019210004
853,KR7003090008
854,KR7006920003
855,KR7170900005
856,KR7037950003
857,KR7051630002
858,KR7306950007
859,KR7316140003
860,KR7094850005
861,KR7065950008
862,KR7171090004
863,KR7032680001
864,KR7078931003
865,KR7054090006
866,KR7220260004
867,KR7340440007
868,KR7038530002
869,KR7033600008
870,KR7298050006
871,KR7090410002
872,KR7178320008
873,KR7099220006
874,KR7011760006
875,KR7300310000
876,KR7008770000
877,KR7257370007
878,KR728513K010
879,KR7058420001
880,KR7096770003
881,KR7030520001
882,KR7234100006
883,KR7292570009
884,KR7093520005
885,KR7056080005
886,KR7008110009
887,KR7052420007
888,KR7277540001
889,KR7023890007
890,KR7062970009
891,KR7094940004
892,KR7089590004
893,KR7001380005
894,KR7232270009
895,KR7086820008
896,KR7227550001
897,KR7038110003
898,KR7011080009
899,KR7022220008
900,KR7042370007
901,KR7084110006
902,KR7139230007
903,KR7088290002
904,KR7035480003
905,KR7214150005
906,KR7045100005
907,KR7025980004
908,KR7000390005
909,KR7004251005
910,KR7225440007
911,KR7033780008
912,KR7053450003
913,KR7241710003
914,KR7266160001
915,KR7015890007
916,KR7326240009
917,KR7004831004
918,KR7329670004
919,KR7137940003
920,KR7000890004
921,KR7088980008
922,KR7328380001
923,KR7031510001
924,KR7042500009
925,KR7138580006
926,KR7009320003
927,KR7013120001
928,KR7123570004
929,KR7291630002
930,KR7017370008
931,KR7007330004
932,KR7257730002
933,KR7064260003
934,KR7051901007
935,KR7195870001
936,KR7086390002
937,KR7195980008
938,KR7099410003
939,KR7090730003
940,KR7227830007
941,KR7149950008
942,KR7215600008
943,KR7282690007
944,KR7046070009
945,KR7014190003
946,KR7307950006
947,KR7055490007
948,KR7284740008
949,KR7225800002
950,KR7056700008
951,KR7279600001
952,KR7011230000
953,KR7275980001
954,KR7155660004
955,KR7237880000
956,KR7122900004
957,KR7310870001
958,KR7081000002
959,KR7155960008
960,KR7002210003
961,KR7284980000
962,KR7290670009
963,KR7284430006
964,KR7134780006
965,KR7008351009
966,KR7307520007
967,KR7081970006
968,KR7322510009
969,KR7004370003
970,KR7282330000
971,KR7005382007
972,KR7082920000
973,KR7069540003
974,KR7101060002
975,KR7332930007
976,KR7092600006
977,KR7275290005
978,KR7286940002
979,KR7038680005
980,KR7001260009
981,KR7189980006
982,KR7054930003
983,KR7000240002
984,KR7009290008
985,KR7139660005
986,KR7052690005
987,KR7319640009
988,KR7003670007
989,KR700499K014
990,KR7225130004
991,KR7095270005
992,KR7196490007
993,KR7000270009
994,KR7080000003
995,KR7086670007
996,KR7036560001
997,KR7025870007
998,KR7241790005
999,KR7005070008
1000,KR7217500008
1001,KR7003550001
1002,KR7303030001
1003,KR7019440007
1004,KR7321260002
1005,KR7221980006
1006,KR7004920005
1007,KR7033250002
1008,KR7067170001
1009,KR7037030004
1010,KR7006910004
1011,KR7054180005
1012,KR7006370001
1013,KR7004720009
1014,KR7263190001
1015,KR7322400003
1016,KR7219860004
1017,KR7068400001
1018,KR7097951008
1019,KR7058450008
1020,KR7006800007
1021,KR7228760005
1022,KR7019770007
1023,KR7019660000
1024,KR7002781003
1025,KR7195990007
1026,KR7304940000
1027,KR7054950001
1028,KR7013700000
1029,KR7014100002
1030,KR7093230001
1031,KR7007680002
1032,KR7244620001
1033,KR7300950003
1034,KR7292500006
1035,KR7261060008
1036,KR7108860008
1037,KR7036190007
1038,KR7099830002
1039,KR7204320006
1040,KR7063440002
1041,KR7000220004
1042,KR7005690003
1043,KR7117730002
1044,KR7275540003
1045,KR7222110009
1046,KR7217190008
1047,KR7214980005
1048,KR7010120004
1049,KR7089970008
1050,KR7006890008
1051,KR7283580009
1052,KR7039560008
1053,KR7006580005
1054,KR7304670003
1055,KR7252500004
1056,KR7083450007
1057,KR7001940006
1058,KR7017180001
1059,KR7036170009
1060,KR7262830003
1061,KR7053060000
1062,KR7144960002
1063,KR7333950004
1064,KR7066980004
1065,KR7091120006
1066,KR7011090008
1067,KR7114800006
1068,KR7006390009
1069,KR7269530002
1070,KR7227540002
1071,KR7079810008
1072,KR7043200005
1073,KR7085810000
1074,KR7002230001
1075,KR7331380006
1076,KR7278530001
1077,KR7089530000
1078,KR7000480004
1079,KR7039440003
1080,KR7046120002
1081,KR7000151001
1082,KR7015750003
1083,KR7102970001
1084,KR7102940004
1085,KR7068330000
1086,KR7075130005
1087,KR7192820009
1088,KR7263720005
1089,KR7306530007
1090,KR7027830009
1091,KR7017810003
1092,KR7039340005
1093,KR7033160003
1094,KR7149940009
1095,KR7105780001
1096,KR7112240007
1097,KR7000080002
1098,KR7307610006
1099,KR7042940007
1100,KR7070960000
1101,KR7003551009
1102,KR7101160000
1103,KR7160600003
1104,KR7017680000
1105,KR7253240006
1106,KR7080530009
1107,KR7000070003
1108,KR7091160002
1109,KR7289040008
1110,KR7002630002
1111,KR7036420008
1112,KR7067000000
1113,KR7007610009
1114,KR7236460002
1115,KR7054210000
1116,KR7004690004
1117,KR7292730009
1118,KR7001523000
1119,KR7066910001
1120,KR7047770003
1121,KR7007690001
1122,KR7003570009
1123,KR7003471000
1124,KR7005741004
1125,KR7044490001
1126,KR7003010006
1127,KR7249420001
1128,KR7003280005
1129,KR7312610009
1130,KR7214450009
1131,KR7118990001
1132,KR7001570001
1133,KR7185750007
1134,KR7272580002
1135,KR7222800005
1136,KR7068240001
1137,KR7043590009
1138,KR7000322008
1139,KR7065660003
1140,KR7253840003
1141,KR733637K010
1142,KR7002720001
1143,KR7251630000
1144,KR7016610008
1145,KR7127120004
1146,KR7030000004
1147,KR7204210009
1148,KR7001681006
1149,KR7014970008
1150,KR7167860006
1151,KR7058850009
1152,KR7045970001
1153,KR7126870005
1154,KR7347140006
1155,KR7011300001
1156,KR7004560009
1157,KR7039740006
1158,KR7004983003
1159,KR7004960001
1160,KR7054670005
1161,KR7244460002
1162,KR7238200000
1163,KR7139130009
1164,KR7019570001
1165,KR7100660000
1166,KR7053210001
1167,KR7114090004
1168,KR7245340005
1169,KR7244670006
1170,KR7097750004
1171,KR7267500007
1172,KR7238670004
1173,KR7011170008
1174,KR7226360006
1175,KR7000211003
1176,KR7025880006
1177,KR7005381009
1178,KR7005880000
1179,KR7018880005
1180,KR7050540004
1181,KR7036480002
1182,KR7009680000
1183,KR7182360008
1184,KR7292190006
1185,KR7023800006
1186,KR7109740001
1187,KR7001061001
1188,KR7032940009
1189,KR7108490004
1190,KR7008830002
1191,KR7086040003
1192,KR7005931001
1193,KR7208710004
1194,KR7046940003
1195,KR7342610003
1196,KR7038460002
1197,KR7107590002
1198,KR7001793009
1199,KR7252710009
1200,KR7217820000
1201,KR7139320006
1202,KR7214370009
1203,KR7280930009
1204,KR7083420000
1205,KR7263750002
1206,KR7317330009
1207,KR7130580004
1208,KR7131030009
1209,KR7000680009
1210,KR7033230004
1211,KR7010240000
1212,KR7027050004
1213,KR7091180000
1214,KR7003120003
1215,KR7011280005
1216,KR7115310005
1217,KR7000320002
1218,KR7260930003
1219,KR7081580003
1220,KR7001750009
1221,KR7280920000
1222,KR7041140005
1223,KR7000210005
1224,KR7014530000
1225,KR7024940009
1226,KR7156100000
1227,KR7004310009
1228,KR7000670000
1229,KR7035510007
1230,KR7315960005
1231,KR7238490007
1232,KR7276000007
1233,KR7103230009
1234,KR7030790000
1235,KR7155650005
1236,KR7065770000
1237,KR7114470008
1238,KR7060900008
1239,KR7237440003
1240,KR7083370007
1241,KR7041190000
1242,KR7018500009
1243,KR7003350006
1244,KR7046390001
1245,KR7221950009
1246,KR7226400000
1247,KR7091590000
1248,KR7090150004
1249,KR7115480006
1250,KR7036000008
1251,KR7222810004
1252,KR7304760002
1253,KR7054220009
1254,KR7247800006
1255,KR7250930005
1256,KR7035000009
1257,KR7153460001
1258,KR7005680004
1259,KR7295890008
1260,KR7204480008
1261,KR7049960008
1262,KR7232080002
1263,KR7046890000
1264,KR7060980000
1265,KR7014790000
1266,KR7255220006
1267,KR7002170009
1268,KR7042040006
1269,KR700088K015
1270,KR7265480004
1271,KR7210780003
1272,KR7317030005
1273,KR7000071001
1274,KR7005320007
1275,KR7005110002
1276,KR7005430004
1277,KR7148250004
1278,KR7043360007
1279,KR7187420005
1280,KR7294400007
1281,KR7050090000
1282,KR7000660001
1283,KR7104700000
1284,KR7047400007
1285,KR7096630009
1286,KR7108230004
1287,KR7168490001
1288,KR7214420002
1289,KR7090350000
1290,KR7003610003
1291,KR7023770001
1292,KR7269620001
1293,KR7069080000
1294,KR7004450003
1295,KR7138520002
1296,KR7003060001
1297,KR7023160005
1298,KR7095500005
1299,KR7094970001
1300,KR7271560005
1301,KR7144600004
1302,KR7021041009
1303,KR7085310001
1304,KR7060380003
1305,KR7192440006
1306,KR7203650007
1307,KR7014570006
1308,KR7152180006
1309,KR7156080004
1310,KR7079430005
1311,KR7104540000
1312,KR7218150001
1313,KR7079440004
1314,KR7095700001
1315,KR7083310003
1316,KR7218710002
1317,KR7031390008
1318,KR7140070004
1319,KR7013310008
1320,KR7222080004
1321,KR7072130008
1322,KR7001740000
1323,KR7011070000
1324,KR7039030002
1325,KR7302180005
1326,KR7195440003
1327,KR7248170003
1328,KR7268600004
1329,KR7016580003
1330,KR7039310008
1331,KR7017940008
1332,KR7289480006
1333,KR7011370004
1334,KR7290660000
1335,KR7094840006
1336,KR7140950007
1337,KR7025860008
1338,KR7134380005
1339,KR7065710006
1340,KR7179290002
1341,KR7104200001
1342,KR7123890006
1343,KR7143160000
1344,KR7241520006
1345,KR7068290006
1346,KR7006120000
1347,KR7304770001
1348,KR7297090003
1349,KR7001460005
1350,KR7043290006
1351,KR7004000006
1352,KR7115390007
1353,KR7136480001
1354,KR7119860005
1355,KR733637K028
1356,KR7006260004
1357,KR7299080002
1358,KR7278280003
1359,KR7013990007
1360,KR7064240005
1361,KR7122640006
1362,KR7147760003
1363,KR7026150003
1364,KR7108670001
1365,KR7025900002
1366,KR7225590009
1367,KR7300640000
1368,KR7005251004
1369,KR7054780002
1370,KR7217790005
1371,KR7079550000
1372,KR7306620006
1373,KR7258790005
1374,KR7004541009
1375,KR7001271006
1376,KR7027040005
1377,KR7140670001
1378,KR7067280008
1379,KR7003380003
1380,KR7090360009
1381,KR7027580000
1382,KR7273060004
1383,KR7006341002
1384,KR7331910000
1385,KR7161000005
1386,KR7058820002
1387,KR7217770007
1388,KR7251970000
1389,KR7294870001
1390,KR7007110000
1391,KR7060560000
1392,KR7291620003
1393,KR7124500000
1394,KR7003411006
1395,KR7183300003
1396,KR7002021004
1397,KR7013030002
1398,KR7250060001
1399,KR7313750002
1400,KR7067770008
1401,KR7039670005
1402,KR7300720000
1403,KR7261070007
1404,KR7265520007
1405,KR7270810005
1406,KR7005810007
1407,KR7052790003
1408,KR7006401004
1409,KR7006200000
1410,KR7298000001
1411,KR7080720006
1412,KR7069140002
1413,KR7230240004
1414,KR7208640003
1415,KR7014130009
1416,KR7066110008
1417,KR7005250006
1418,KR7006110001
1419,KR7214320004
1420,KR7054040001
1421,KR7220630008
1422,KR7003461001
1423,KR7035890003
1424,KR7031980006
1425,KR7117700005
1426,KR7143860005
1427,KR7170790000
1428,KR7043090000
1429,KR7200030005
1430,KR7344820006
1431,KR7329660005
1432,KR7025820002
1433,KR7006380000
1434,KR7069330009
1435,KR7189690001
1436,KR7152280004
1437,KR7263860009
1438,KR7291680007
1439,KR7120111000
1440,KR7001522002
1441,KR7292160009
1442,KR7335890000
1443,KR7038620001
1444,KR7214390007
1445,KR7161890009
1446,KR7043220003
1447,KR7290120005
1448,KR7014620009
1449,KR7052900008
1450,KR7081660003
1451,KR7082660002
1452,KR7053110003
1453,KR7006050009
1454,KR7269420006
1455,KR7017040007
1456,KR7287300008
1457,KR7002840007
1458,KR7008260002
1459,KR7002700003
1460,KR7094170008
1461,KR7266370006
1462,KR7227100005
1463,KR7078340007
1464,KR7217480003
1465,KR7000590000
1466,KR7007811003
1467,KR7012280004
1468,KR7333980001
1469,KR7038390001
1470,KR7009520008
1471,KR7178780003
1472,KR7025620006
1473,KR7051370005
1474,KR7011330008
1475,KR7292140001
1476,KR7012450003
1477,KR7208350009
1478,KR7057880007
1479,KR7268280005
1480,KR7217810001
1481,KR7332500008
1482,KR7012600003
1483,KR7024110009
1484,KR7076080001
1485,KR7064960008
1486,KR7087260006
1487,KR7060480001
1488,KR7300120003
1489,KR7300610003
1490,KR7001790005
1491,KR7033920000
1492,KR7005383005
1493,KR7060230000
1494,KR7057030009
1495,KR7017960006
1496,KR7154040000
1497,KR7024890006
1498,KR7060250008
